,Location,Cholesterol Test State Range,Cholesterol Test Average,HBP_Range,HBP_Average,DocVisit_Range,DocVisit_Average
0,National Average,18-42,27,108-200,148,65-96,79
50,AL,15-30,19,104-162,123, 55-74,68
1,AK,61-101,85,312-441,385, 164-202,182
2,AR,23-43,33,120-192,158, 73-85,80
3,CA,19-38,25,119-196,147, 69-97,81
4,CT,18-34,21,126-194,148, 82-107,91
5,DE,16-27,20,119-161,139, 63-85,73
6,FL,17-39,26,98-173,130, 56-83,65
7,GA,17-38,27,110-192,146, 70-97,85
8,IL,21-40,29,131-211,162, 74-111,86
9,IN,21-42,30,119-194,147, 65-87,73
10,IA,26-47,36,146-230,179, 67-116,91
11,KS,24-38,32,133-192,161, 64-90,78
12,KY,18-37,26,111-172,136, 62-81,69
13,LA,14-27,18,101-150,121, 69-86,78
14,ME,28-37,33,155-204,182, 89-109,95
15,MA,19-41,27,127-241,164, 82-132,96
16,MN,30-62,43,179-316,240, 87-163,121
17,NE,31-50,37,155-253,194, 75-130,99
18,NV,23-37,28,122-190,146, 64-87,72
19,NH,28-60,32,164-275,200, 83-132,102
20,NJ,18-43,30,118-192,148, 69-87,73
21,NM,21-80,29,127-250,159, 73-108,92
22,NY,15-34,23,99-185,133, 60-102,73
23,OH,17-33,24,107-167,134, 58-86,72
24,OK,18-30,23,119-164,141, 74-83,80
25,OR,20-30,23,154-230,187, 72-152,122
26,PA,18-35,27,105-180,142, 65-88,76
27,RI,17-27,22,117-165,130, 72-82,75
28,SC,20-52,32,130-225,166, 73-97,81
29,TX,19-42,29,111-194,147, 65-92,76
30,UT,19-25,22,114-157,136, 72-89,78
31,VA,21-37,27,128-191,152, 76-96,84
32,WV,25-35,31,134-185,153, 68-99,79
33,WI,27-112,66,152-388,271, 65-155,105
34,WY,34-78,50,170-310,234, 86-127,110
35,AZ,19-30,24,111-153,128, 61-77,70
36,MI,15-26,20,113-160,134, 72-86,82
37,MS,29-53,40,141-215,172, 77-88,82
38,TN,19-32,22,110-174,130, 68-88,74
39,CO,17-36,23,123-192,150, 79-104,90
40,MD,17-29,21,97-153,126, 65-97,79
41,MO,18-38,26,113-187,143, 65-88,75
42,ND,48-94,59,226-351,274, 106-154,136
43,WA,19-33,24,139-198,167, 84-111,103
44,NC,26-53,40,127-248,181, 68-115,82
45,ID,No Data Available,No Data Available,No Data Available,No Data Available,No Data Available,No Data Available
46,MT,No Data Available,No Data Available,No Data Available,No Data Available,No Data Available,No Data Available
47,SD,No Data Available,No Data Available,No Data Available,No Data Available,No Data Available,No Data Available
48,VT,No Data Available,No Data Available,No Data Available,No Data Available,No Data Available,No Data Available
49,HI,No Data Available,No Data Available,No Data Available,No Data Available,No Data Available,No Data Available
